children,dob_years,education,marital_status,gender,income_type,debt,total_income,purpose
0,63,high school,married,F,retiree,0,92342.73061,cars
1,50,GRADUATE,married,F,employee,0,203199.6836,wedding
1,28,high school,married,F,employee,0,52746.42232,education
0,61,high school,divorced,F,unemployed,0,311453.5995,buying home
0,27,GRADUATE,married,F,employee,0,92238.81311,cars
0,54,high school,married,F,retiree,1,,get married
0,64,high school,widow / widower,F,retiree,0,149141.0435,education
0,44,high school,widow / widower,F,employee,0,58616.40596,education
0,36,GRADUATE,married,M,employee,0,414404.2029,property
0,53,high school,married,F,unemployed,0,261369.5065,real estate transactions
1,48,high school,married,M,employee,0,129902.2837,education
0,42,high school,married,F,employee,0,173987.4729,buying a property
0,48,GRADUATE,single,M,public employee,0,435388.1953,higher education
0,45,high school,married,F,employee,0,110004.3598,housing transactions
0,35,underGRADUATE,single,M,employee,0,282900.4713,used car deal
0,21,high school,single,M,unemployed,0,,commercial real estate transactions
0,28,high school,married,M,employee,0,145214.5236,education
0,52,GRADUATE,married,F,retiree,0,,buying a family home
2,46,GRADUATE,married,M,unemployed,0,592071.4646,commercial real estate transactions
0,23,high school,single,F,employee,0,91247.05816,buying home
1,28,GRADUATE,married,M,public employee,0,207561.467,purchase of commercial property
0,62,high school,married,F,retiree,0,43929.6964,cars
1,32,GRADUATE,married,M,public employee,0,,commercial real estate transactions
0,40,high school,married,M,employee,0,97946.84101,education
1,45,high school,married,F,employee,0,81142.78349,buying a family home
1,38,high school,married,M,employee,1,81935.3815,real estate transactions
1,44,GRADUATE,married,M,employee,0,148992.03,to buy a used car
0,43,GRADUATE,single,F,employee,0,140843.9744,car
0,61,GRADUATE,married,M,retiree,0,175127.646,car deal
0,27,high school,single,M,unemployed,0,253681.7099,cars
0,25,high school,single,F,unemployed,0,82740.4129,car deal
0,33,high school,married,F,employee,0,110833.2154,specialized education
2,50,GRADUATE,married,F,employee,0,,housing
0,52,high school,married,M,employee,0,,housing
0,53,high school,married,F,public employee,0,255909.1728,transactions with real estate
0,30,high school,married,M,employee,0,54123.55781,higher education
0,64,high school,married,M,retiree,0,243033.4533,wedding
0,53,high school,married,F,retiree,0,74363.85655,buying a rental property
0,63,GRADUATE,married,F,retiree,0,206872.3501,for a wedding
0,42,high school,married,F,unemployed,0,49463.91938,used car deal
2,35,GRADUATE,married,F,employee,0,,housing transactions
2,39,high school,married,F,employee,0,155886.8566,buying a property
1,40,GRADUATE,married,F,employee,0,191397.9627,get married
1,32,high school,married,M,employee,1,331139.5903,car deal
1,34,GRADUATE,married,F,unemployed,0,,for a wedding
0,51,GRADUATE,married,F,employee,0,94187.87808,automobile
0,44,high school,married,F,employee,0,,purchase of residential property
0,47,GRADUATE,married,F,employee,0,,specialized education
0,54,GRADUATE,married,F,retiree,0,199707.2985,buying a rental property
0,0,high school,married,F,retiree,0,71291.52249,automobile
0,49,high school,widow / widower,F,employee,1,176384.8825,real estate transactions
0,65,high school,married,F,retiree,0,157970.4864,to buy a car
0,51,high school,married,F,unemployed,0,126706.5985,to buy a used car
1,39,high school,single,F,employee,0,142231.4894,real estate
0,59,high school,single,F,retiree,0,163581.9501,buying a rental property
0,62,high school,widow / widower,F,employee,0,76884.18759,house construction
1,29,high school,married,F,employee,0,171871.7329,education
0,24,GRADUATE,married,F,unemployed,0,202988.7691,house construction
2,33,GRADUATE,married,F,employee,0,180051.752,used car deal
0,59,high school,married,F,employee,0,107643.6756,education
0,41,high school,married,M,public employee,0,118551.6078,buying a home
0,61,high school,single,F,unemployed,0,173896.6183,property
1,28,GRADUATE,married,M,employee,0,280934.3059,property
0,52,high school,married,F,public employee,0,120655.0983,education
0,26,GRADUATE,married,F,employee,1,143471.7123,transactions with real estate
1,38,GRADUATE,married,F,public employee,0,97848.27661,commercial real estate transactions
1,50,high school,married,M,employee,0,83366.3197,purchase of residential property
0,41,high school,divorced,F,employee,0,178975.1336,to buy a car
2,33,high school,married,M,unemployed,0,113572.2134,for a wedding
0,60,high school,single,F,retiree,0,31534.7505,purchase of commercial property
0,46,high school,married,F,employee,0,,higher education
0,29,GRADUATE,married,F,unemployed,0,,automobile
0,55,GRADUATE,married,F,unemployed,0,103628.0709,cars
2,39,high school,married,M,employee,0,83892.81599,buying a rental property
0,38,high school,married,F,employee,1,175046.4225,commercial real estate transactions
0,64,GRADUATE,married,F,unemployed,0,186408.7418,wedding
1,49,high school,married,M,unemployed,0,339517.3611,house construction
0,43,GRADUATE,single,F,employee,0,203279.5998,construction of residential real estate
0,67,high school,divorced,F,retiree,0,112331.7871,car deal
0,61,High School,married,M,retiree,0,103644.9325,automobile
0,42,High School,married,F,unemployed,0,95845.74471,transactions with real estate
0,58,High School,married,M,employee,0,73637.58619,education
1,45,high school,married,M,employee,0,246227.9925,automobile
0,64,high school,married,F,retiree,0,79047.65306,education
1,46,underGRADUATE,divorced,F,employee,0,166015.7905,purchase of residential property
0,27,high school,married,M,unemployed,0,,housing
0,60,secondary school,married,M,retiree,0,113124.2028,transactions with real estate
1,28,GRADUATE,married,M,employee,0,269423.963,get married
0,43,high school,married,F,public employee,0,119827.6542,buying home
0,29,underGRADUATE,married,M,unemployed,0,196932.0773,home renovation
0,24,high school,married,F,employee,0,102110.9891,purchase of commercial property
0,39,high school,married,M,employee,0,,wedding
0,54,high school,married,F,retiree,0,108280.6449,used car deal
0,48,high school,widow / widower,F,employee,0,151069.4385,house construction
1,45,high school,married,F,employee,0,284248.0833,car
0,62,high school,married,M,retiree,0,,real estate
0,46,high school,married,F,employee,0,98709.73055,buying a home
0,47,high school,married,F,public employee,1,74535.09733,real estate transactions
0,37,high school,married,F,employee,0,145159.215,to buy a car
0,0,high school,divorced,F,employee,0,70176.43595,housing transactions
0,71,high school,married,F,retiree,0,174088.2932,get married
0,37,GRADUATE,married,F,unemployed,0,463089.9792,get married
1,39,high school,married,F,unemployed,0,40891.12824,buying home
1,20,high school,married,M,unemployed,1,134750.7495,housing
1,41,GRADUATE,widow / widower,F,employee,0,143113.3293,commercial real estate transactions
0,40,high school,married,F,unemployed,0,70788.33945,degree
0,65,high school,married,M,retiree,0,261291.0365,education
0,38,high school,married,F,retiree,1,113560.65,car deal
0,56,high school,married,F,employee,0,80547.23926,education
0,59,high school,single,F,retiree,0,149542.8589,to buy a car
0,45,high school,married,M,employee,0,198386.799,buying a rental property
1,39,GRADUATE,married,F,employee,0,87107.11821,car purchase
0,62,high school,married,M,employee,0,66577.61713,education
0,50,high school,married,M,employee,0,78975.57711,home renovation
2,27,GRADUATE,married,F,employee,1,369587.0877,to buy a car
2,32,GRADUATE,married,M,public employee,0,228289.2484,buying a home
0,38,high school,married,M,employee,0,144073.7114,housing transactions
0,56,high school,married,F,public employee,0,220719.0551,for a wedding
0,67,high school,widow / widower,F,retiree,0,139038.9446,buying home
0,58,high school,married,F,retiree,0,167861.7008,car purchase
0,28,GRADUATE,single,M,employee,0,121721.8928,housing
0,60,high school,married,F,unemployed,0,225197.7953,for a wedding
0,49,high school,married,F,employee,0,182980.1156,real estate
0,49,high school,married,M,unemployed,0,416461.8747,purchase of commercial property
0,55,GRADUATE,widow / widower,F,unemployed,0,,car
2,38,high school,married,F,employee,0,141210.6842,real estate
0,60,high school,married,F,retiree,0,104621.0674,higher education
2,48,high school,married,M,public employee,0,173074.1929,used car deal
0,59,high school,widow / widower,F,retiree,0,87268.77879,car purchase
0,43,high school,single,F,employee,0,177790.0139,buying home
0,37,high school,married,F,employee,0,212257.2125,get married
0,26,high school,married,F,unemployed,1,,buying a family home
1,49,high school,married,F,employee,0,81419.7034,wedding
1,35,GRADUATE,married,M,unemployed,1,272193.003,education
0,57,GRADUATE,married,M,retiree,0,141337.867,buying a rental property
0,32,high school,married,M,employee,1,160905.707,education
0,34,high school,divorced,F,employee,0,201650.3553,commercial real estate transactions
0,46,GRADUATE,married,F,employee,0,260037.6656,higher education
0,48,high school,married,M,employee,0,173544.6795,buying home
1,30,high school,single,F,employee,0,,car
0,26,high school,married,M,unemployed,0,160891.4721,for a wedding
0,60,high school,married,F,retiree,0,173948.3522,higher education
0,47,high school,married,M,employee,0,218442.0078,car
0,60,GRADUATE,divorced,F,retiree,0,97191.9964,to buy a used car
0,24,high school,married,M,unemployed,0,135860.887,education
0,51,high school,married,F,employee,0,255838.3617,degree
0,37,GRADUATE,married,F,unemployed,0,160754.5481,buying home
0,59,GRADUATE,married,F,employee,0,140849.6246,buying a property
0,52,high school,single,F,unemployed,0,139169.4135,to buy a car
1,23,high school,widow / widower,F,employee,0,58549.62739,used car deal
0,41,high school,married,F,employee,0,201126.0474,real estate
0,39,high school,married,F,unemployed,0,86996.80723,purchase of residential property
1,38,high school,married,F,employee,1,90960.94119,purchase of residential property
0,56,high school,married,M,employee,0,163774.7734,house construction
0,61,high school,married,F,retiree,0,181307.7994,construction of residential real estate
1,31,GRADUATE,married,F,employee,0,,to buy a used car
0,54,high school,married,F,retiree,0,267172.7092,education
0,37,high school,single,F,employee,0,112735.879,buying home
0,22,high school,married,M,unemployed,0,162492.0184,specialized education
2,38,GRADUATE,married,F,employee,0,195133.3875,commercial real estate transactions
2,55,secondary school,widow / widower,F,retiree,0,160635.1203,construction of residential real estate
0,41,secondary school,married,F,employee,0,36649.07844,used car deal
0,48,GRADUATE,single,M,public employee,0,239697.6162,car purchase
1,38,GRADUATE,married,M,employee,1,231389.8328,to buy a car
2,41,underGRADUATE,married,F,employee,0,314546.9934,buying a family home
0,42,GRADUATE,single,F,unemployed,0,260465.3945,real estate transactions
0,22,GRADUATE,married,F,employee,0,118757.7701,education
0,54,high school,married,F,retiree,0,269589.0051,house construction
1,34,high school,married,F,employee,1,213214.0925,to buy a car
0,21,underGRADUATE,married,F,unemployed,0,86954.92246,commercial real estate transactions
1,23,underGRADUATE,married,F,unemployed,0,,get married
0,65,high school,widow / widower,F,retiree,0,178464.0801,cars
0,32,GRADUATE,married,M,unemployed,0,188982.6726,purchase of residential property
0,61,high school,divorced,F,retiree,0,110251.1704,commercial real estate transactions
2,41,high school,married,F,unemployed,0,94587.13139,buying home
0,52,high school,married,F,employee,0,153892.2656,real estate
1,30,high school,married,F,public employee,0,132754.3626,higher education
1,64,GRADUATE,married,F,employee,0,142424.6435,housing
0,60,high school,single,F,retiree,0,190426.1275,home renovation
0,73,high school,widow / widower,F,retiree,0,136897.0084,used car deal
1,28,high school,married,M,unemployed,1,188585.6448,wedding
1,41,high school,married,F,employee,1,112090.5975,buying a family home
0,49,high school,married,F,employee,0,74616.87624,wedding
1,50,high school,married,F,employee,0,143391.0714,to buy a car
0,52,high school,single,F,employee,0,140447.694,specialized education
0,50,high school,married,F,employee,0,125165.9401,housing
0,59,high school,married,F,retiree,0,142956.5459,to buy a car
2,37,high school,married,M,employee,0,202689.757,buying a property
0,44,high school,married,F,employee,0,235437.4092,for a wedding
0,43,high school,married,M,employee,0,436688.7693,real estate transactions
0,47,high school,widow / widower,F,unemployed,0,132797.2437,purchase of commercial property
0,47,high school,married,M,employee,0,,house construction
0,58,high school,married,F,public employee,0,,buying home
0,49,GRADUATE,married,M,unemployed,0,383743.1532,wedding
0,48,high school,married,F,employee,0,130945.6109,higher education
0,50,high school,divorced,M,employee,0,197169.8133,purchase of residential property
1,40,high school,married,F,unemployed,0,158350.0769,real estate
1,60,GRADUATE,married,F,retiree,1,,higher education
0,31,high school,married,M,employee,0,259511.2005,purchase of residential property
0,29,GRADUATE,married,F,employee,0,188190.3384,higher education
0,54,GRADUATE,married,F,employee,0,,used car deal
0,71,high school,widow / widower,F,retiree,0,138877.1632,purchase of commercial property
1,35,high school,married,F,unemployed,0,230040.1246,buying a home
0,63,high school,widow / widower,F,retiree,0,91947.76867,higher education
2,44,GRADUATE,married,F,unemployed,0,327126.7383,housing
0,45,high school,married,M,employee,0,119879.1545,buying a home
0,52,high school,married,F,employee,0,82913.07959,degree
0,49,GRADUATE,married,M,employee,0,204544.9474,housing transactions
1,47,high school,married,M,employee,0,149082.6978,wedding
0,29,GRADUATE,married,F,employee,0,211975.5093,wedding
1,29,high school,married,F,unemployed,0,286533.8602,buying a family home
0,51,high school,married,F,unemployed,0,143913.5489,housing transactions
0,44,high school,married,F,employee,0,168586.3898,buying a property
0,52,high school,married,F,retiree,0,75225.83299,construction of residential real estate
2,40,high school,divorced,F,employee,0,,property
2,48,high school,married,M,unemployed,0,215985.4414,real estate
0,59,high school,married,F,retiree,0,93391.58177,property
0,68,GRADUATE,married,F,retiree,0,161112.5202,commercial real estate transactions
2,29,GRADUATE,single,M,employee,0,266641.9943,buying a home
2,37,high school,married,F,employee,1,80334.09573,to buy a used car
3,0,high school,married,F,employee,0,102166.4589,home renovation
0,66,high school,widow / widower,F,retiree,0,61441.44475,automobile
0,35,secondary school,married,M,employee,1,123814.0795,education
0,57,high school,single,F,retiree,0,90523.53554,higher education
2,25,high school,married,M,unemployed,0,330328.4947,get married
0,44,high school,married,F,employee,0,47871.33938,purchase of commercial property
0,64,high school,married,F,employee,0,160814.512,home renovation
1,46,high school,married,M,employee,0,122263.2085,get married
1,23,high school,married,F,employee,1,,automobile
0,44,high school,married,F,employee,0,,transactions with real estate
0,66,high school,married,F,retiree,0,,housing transactions
1,44,high school,married,M,unemployed,0,207375.3648,home renovation
2,33,high school,married,M,employee,0,231068.8643,buying a home
0,56,high school,widow / widower,F,retiree,0,162416.1378,to buy a car
0,63,GRADUATE,married,F,employee,0,103078.0174,cars
0,50,high school,married,M,unemployed,1,81863.11439,higher education
0,45,high school,married,F,employee,0,104614.1155,to buy a used car
0,47,high school,married,M,employee,1,143042.6143,buying home
0,28,high school,married,F,employee,0,86117.27069,house construction
1,44,high school,married,F,employee,0,153439.5968,home renovation
0,35,high school,married,M,unemployed,0,160483.2425,education
-1,46,high school,married,F,employee,0,102816.3464,specialized education
0,56,high school,married,F,employee,0,133383.5501,property
0,65,high school,married,F,retiree,0,169009.3076,property
4,36,GRADUATE,married,F,employee,0,335024.6726,wedding
0,27,high school,married,F,unemployed,0,112633.0411,to buy a used car
0,43,GRADUATE,married,F,employee,0,203323.3699,buying a rental property
0,45,high school,married,F,employee,1,143383.3662,real estate
1,44,high school,married,F,unemployed,0,111147.2492,used car deal
0,28,GRADUATE,married,F,employee,0,235583.3316,commercial real estate transactions
1,33,high school,married,M,employee,0,223001.624,for a wedding
0,53,high school,married,M,employee,1,174396.1022,real estate
2,49,secondary school,married,F,employee,0,194077.3316,purchase of commercial property
2,25,high school,single,F,public employee,0,63048.05404,degree
0,66,high school,married,F,retiree,0,92974.01278,commercial real estate transactions
2,36,high school,divorced,F,employee,1,45033.20307,property
0,61,high school,married,F,unemployed,0,138248.7625,construction of residential real estate
0,22,high school,single,F,public employee,0,127677.9474,commercial real estate transactions
0,28,GRADUATE,married,M,public employee,0,261111.2131,home renovation
0,63,high school,widow / widower,F,retiree,0,102001.2557,property
0,49,high school,married,M,unemployed,0,156281.9551,purchase of residential property
0,44,high school,married,F,retiree,0,47457.97996,higher education
1,33,high school,married,M,employee,1,,buying a rental property
0,35,high school,married,M,unemployed,1,325440.901,degree
2,39,high school,married,M,employee,0,111385.4899,buying a property
0,61,high school,married,F,retiree,0,145978.2127,education
0,34,high school,single,M,public employee,0,202125.1913,buying a family home
0,21,GRADUATE,single,M,employee,0,,car deal
0,35,GRADUATE,married,M,unemployed,0,310574.4572,car
0,55,GRADUATE,married,F,employee,0,423422.7915,construction of residential real estate
0,63,high school,widow / widower,F,employee,0,,to buy a used car
1,34,GRADUATE,married,M,unemployed,0,,for a wedding
0,56,high school,married,F,retiree,1,,get married
0,64,high school,married,M,unemployed,0,227706.366,buying a rental property
0,42,GRADUATE,married,M,public employee,0,320700.9275,commercial real estate transactions
0,29,high school,married,M,employee,0,156680.5966,purchase of residential property
0,55,high school,divorced,F,retiree,0,92673.66876,buying a property
0,27,secondary school,married,M,employee,0,147989.2287,purchase of commercial property
0,69,high school,widow / widower,F,employee,0,,car purchase
0,50,high school,married,F,unemployed,0,249539.0567,purchase of residential property
1,42,high school,single,F,unemployed,0,175328.6052,buying a home
0,43,high school,widow / widower,F,employee,0,148790.0815,car
0,28,GRADUATE,married,F,employee,0,290515.371,higher education
0,57,high school,married,M,unemployed,0,230292.1283,to buy a used car
1,32,high school,single,F,employee,0,220815.2888,car
1,26,high school,married,F,employee,1,239515.0266,real estate transactions
0,43,GRADUATE,married,M,employee,0,417051.7945,real estate
1,48,high school,married,F,unemployed,0,131643.6131,cars
0,30,GRADUATE,divorced,F,employee,1,353864.0278,commercial real estate transactions
1,32,high school,married,F,employee,0,79756.83352,used car deal
1,46,high school,married,F,employee,0,54797.08869,purchase of commercial property
2,33,high school,single,F,employee,0,98522.59378,car deal
0,37,high school,married,F,employee,0,156434.4456,car deal
0,53,high school,married,M,employee,0,193318.8773,buying a home
0,36,GRADUATE,single,F,employee,0,138691.1699,commercial real estate transactions
0,65,high school,widow / widower,F,employee,0,107906.1656,education
0,27,high school,married,M,employee,0,162146.5421,higher education
0,28,GRADUATE,married,M,employee,0,235311.0217,purchase of residential property
0,69,high school,married,M,retiree,0,169474.8943,housing transactions
0,57,high school,married,M,employee,0,114726.9505,for a wedding
0,64,high school,widow / widower,F,retiree,0,149716.015,buying a family home
1,42,high school,married,F,public employee,0,290780.7359,purchase of commercial property
3,35,high school,married,M,unemployed,0,192528.9475,automobile
2,38,high school,married,F,employee,0,157624.7969,house construction
1,30,high school,married,M,unemployed,0,343587.9294,purchase of residential property
1,58,high school,married,M,unemployed,0,382561.8515,car purchase
0,54,GRADUATE,married,F,employee,0,278797.479,construction of residential real estate
0,54,high school,married,M,employee,0,143005.2711,wedding
0,26,high school,single,M,employee,0,265758.6075,housing
0,44,GRADUATE,married,F,unemployed,0,149071.5267,buying a rental property
0,27,high school,married,M,unemployed,0,,buying a rental property
0,59,high school,widow / widower,F,retiree,0,,housing
1,36,GRADUATE,married,F,employee,0,284610.0479,buying a rental property
2,37,high school,married,F,employee,0,203187.5133,higher education
0,57,high school,married,F,unemployed,0,,higher education
2,36,GRADUATE,married,M,unemployed,0,553624.2305,purchase of residential property
0,41,GRADUATE,married,M,unemployed,0,308790.2141,wedding
0,57,high school,widow / widower,F,employee,0,74253.43374,to buy a used car
1,31,high school,single,F,employee,0,64085.93598,property
2,36,GRADUATE,married,M,unemployed,0,360163.4857,real estate transactions
2,30,high school,married,F,employee,0,116323.709,automobile
1,38,underGRADUATE,married,M,employee,0,331495.3922,property
0,29,GRADUATE,married,M,employee,0,256487.9457,education
1,37,GRADUATE,married,F,public employee,0,437471.4292,buying a property
0,46,high school,married,F,unemployed,0,230272.9228,car purchase
0,33,high school,married,F,employee,1,63511.02868,to buy a used car
0,23,underGRADUATE,single,M,employee,0,,higher education
0,49,high school,married,F,public employee,0,84119.59788,housing
0,28,GRADUATE,married,F,unemployed,0,180437.3578,home renovation
0,50,high school,married,F,employee,1,506773.9858,housing
2,33,high school,married,F,public employee,0,171057.9517,for a wedding
0,44,GRADUATE,married,M,employee,0,171859.9267,buying a home
0,55,high school,married,M,employee,0,147863.344,used car deal
0,55,GRADUATE,married,F,unemployed,0,,get married
0,27,high school,married,F,employee,0,57212.8396,property
0,51,high school,married,M,retiree,0,115194.1611,education
0,42,high school,married,M,employee,0,136525.0311,buying a home
0,45,GRADUATE,married,F,unemployed,0,189366.9593,housing transactions
0,49,GRADUATE,single,F,retiree,0,290193.7957,cars
1,31,high school,divorced,M,public employee,0,,degree
1,35,high school,married,F,employee,0,331595.2438,buying a property
1,41,high school,divorced,F,employee,0,217333.1751,education
0,46,high school,divorced,M,employee,0,86175.99488,higher education
0,54,high school,divorced,F,retiree,0,113978.1525,buying home
0,30,high school,married,M,employee,0,121759.963,purchase of commercial property
0,29,GRADUATE,married,F,employee,0,189608.4458,higher education
0,53,high school,divorced,F,employee,1,136159.926,to buy a car
0,46,high school,married,F,employee,0,292843.288,property
0,27,secondary school,single,M,unemployed,0,378606.1729,housing
0,32,high school,married,F,employee,0,156255.21,education
0,50,GRADUATE,divorced,F,unemployed,0,191651.6289,home renovation
0,40,underGRADUATE,married,F,employee,0,107499.8764,real estate transactions
0,57,high school,single,F,employee,0,260593.8709,construction of residential real estate
0,64,GRADUATE,married,F,retiree,0,248148.0531,for a wedding
0,23,high school,married,M,unemployed,0,161754.5669,for a wedding
0,54,high school,single,F,retiree,0,144318.045,higher education
0,33,high school,single,M,employee,0,63357.95678,higher education
1,40,GRADUATE,married,M,employee,0,235184.9904,used car deal
1,58,high school,single,F,employee,0,110963.1666,transactions with real estate
0,56,high school,married,F,employee,0,168838.7885,wedding
0,47,GRADUATE,married,F,employee,0,267550.4654,transactions with real estate
0,65,GRADUATE,married,F,retiree,0,302020.0262,wedding
2,40,high school,married,F,unemployed,0,91603.4868,get married
0,61,high school,married,F,employee,0,318846.2769,automobile
0,41,high school,married,F,employee,0,162604.317,home renovation
0,57,GRADUATE,widow / widower,F,retiree,0,,housing
0,58,high school,married,F,retiree,0,,specialized education
0,53,GRADUATE,single,F,public employee,0,100169.5547,buying a rental property
1,59,high school,married,M,retiree,0,212226.2707,home renovation
0,58,high school,married,F,employee,0,230744.3155,wedding
0,54,high school,married,M,retiree,0,241738.2938,car purchase
0,45,high school,married,F,employee,0,,specialized education
0,55,high school,married,M,unemployed,0,130087.4879,buying a property
0,56,high school,married,M,employee,0,138653.7488,cars
1,37,high school,married,F,unemployed,0,73897.89853,transactions with real estate
2,45,high school,married,M,unemployed,0,65489.11588,purchase of commercial property
0,56,high school,married,M,unemployed,0,85566.88857,higher education
0,49,high school,married,F,employee,0,78990.24653,real estate
0,55,high school,married,F,retiree,0,220450.5055,housing transactions
1,22,underGRADUATE,married,F,unemployed,0,59702.37857,housing transactions
0,40,high school,married,F,employee,0,86614.13606,get married
0,46,high school,married,F,public employee,0,111755.1988,buying a family home
0,28,high school,married,M,unemployed,0,224492.9459,buying a family home
0,44,GRADUATE,married,F,unemployed,0,149367.8354,get married
0,66,high school,married,F,retiree,0,45403.44177,degree
0,60,high school,married,M,unemployed,0,237845.3935,to buy a used car
0,56,high school,married,M,employee,0,202743.5352,buying a rental property
1,22,GRADUATE,married,M,employee,1,168110.2873,purchase of residential property
0,39,GRADUATE,married,M,unemployed,0,132968.7021,used car deal
2,27,high school,married,F,employee,0,153406.6276,higher education
0,63,high school,divorced,F,retiree,0,63295.13531,higher education
1,28,GRADUATE,married,M,employee,0,226385.727,housing
0,63,GRADUATE,married,F,retiree,0,409749.4418,to buy a used car
1,45,high school,married,F,unemployed,0,91053.54702,real estate transactions
0,53,high school,widow / widower,F,employee,1,,car
0,33,high school,married,M,employee,0,149943.1324,wedding
2,36,GRADUATE,married,M,public employee,0,164190.7014,specialized education
0,58,high school,widow / widower,F,employee,0,65872.65506,education
0,63,high school,widow / widower,F,retiree,0,82638.00242,buying a home
0,51,high school,single,F,employee,0,189615.2132,automobile
2,41,high school,married,F,unemployed,0,330121.8326,for a wedding
1,44,high school,married,F,public employee,0,228945.5636,buying home
2,29,GRADUATE,married,F,unemployed,0,129336.5538,property
0,33,high school,single,M,employee,0,126417.8764,housing
0,60,high school,divorced,F,unemployed,0,325817.6807,construction of residential real estate
0,27,high school,single,F,employee,0,260753.2035,to buy a car
0,59,GRADUATE,married,M,employee,0,62822.52469,for a wedding
0,62,GRADUATE,widow / widower,F,unemployed,0,302082.0976,cars
0,48,high school,married,F,unemployed,0,,wedding
0,53,GRADUATE,married,F,retiree,0,82055.33682,commercial real estate transactions
1,27,high school,single,F,employee,0,140531.3071,house construction
0,36,high school,married,M,employee,0,171100.2853,specialized education
0,64,GRADUATE,married,F,retiree,0,168089.7811,get married
1,31,GRADUATE,divorced,F,unemployed,0,76712.61788,higher education
0,55,high school,married,M,unemployed,0,119275.5903,buying a family home
1,45,GRADUATE,married,F,employee,0,118552.3103,for a wedding
0,56,high school,married,F,retiree,0,,degree
0,51,high school,divorced,F,employee,0,442632.0883,house construction
0,59,high school,married,F,retiree,0,126562.9323,buying a property
1,44,high school,married,M,employee,0,139070.8796,transactions with real estate
1,34,high school,married,M,unemployed,0,117528.9338,to buy a car
0,50,high school,married,F,employee,0,127506.9613,higher education
2,27,high school,married,M,employee,0,99140.50799,education
0,45,high school,married,F,employee,0,46036.81499,to buy a used car
0,46,GRADUATE,divorced,M,unemployed,0,490271.6516,property
1,41,high school,married,F,unemployed,0,208756.67,property
0,66,high school,married,M,retiree,0,71263.53477,wedding
2,41,GRADUATE,married,F,public employee,0,99015.36404,housing
0,58,high school,single,F,employee,0,232996.5504,car
0,29,high school,single,M,employee,0,111151.6768,housing
0,33,underGRADUATE,married,F,employee,0,108738.5225,property
2,27,high school,married,F,employee,0,78157.79932,used car deal
0,49,GRADUATE,married,F,unemployed,0,195989.6107,purchase of residential property
0,54,GRADUATE,married,M,unemployed,0,174811.3778,to buy a car
1,45,high school,married,M,employee,0,167580.8424,cars
